#,This,file,was,produced,by,the,NASA,Exoplanet,Archive,,http://exoplanetarchive.ipac.caltech.edu,
#,Sun,Sep,19,09:21:02,2021,,,,,,,
#,,,,,,,,,,,,
#,User,ID:,,,,,,,,,clebersilva,
#,,,,,,,,,,,,
#,User,preference:,archive,defaults,,,,,,,,
#,,,,,,,,,,,,
#,COLUMN,kepid:,,,,,,,,,,KepID
#,COLUMN,tce_plnt_num:,,,Planet,Number,,,,,,
#,COLUMN,tcet_period:,,,,Orbital,Period,[days],,,,
#,COLUMN,tcet_period_err:,Orbital,Period,Unc.,[days],,,,,,
#,COLUMN,tcet_time0bk:,,,Transit,Epoch,[BKJD],,,,,
#,COLUMN,tcet_time0bk_err:,Transit,Epoch,Unc.,[BKJD],,,,,,
#,COLUMN,tcet_duration:,,Transit,Duration,[hrs],,,,,,
#,COLUMN,tcet_duration_err:,Transit,Duration,Unc.,[hrs],,,,,,
#,COLUMN,av_training_set:,Autovetter,Training,Set,Label,,,,,,
#,,,,,,,,,,,,
rowid,kepid,tce_plnt_num,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_duration,tce_duration_err,av_training_set,,,
1,1162345,2,0.831850,6.693070000e-05,132227,3.519700000e-02,2.3920,2.1000000e+01,AFP,,,
2,1292087,2,1.095240,1.009340000e-05,132133,2.685010000e-03,2.1220,4.7550000e-01,UNK,,,
3,1293031,2,0.719273,1.388330000e-05,132227,2.786260000e-03,1.5210,3.1830000e-01,UNK,,,
4,1162345,3,0.831833,9.431020000e-06,131919,2.209140000e-03,2.1810,1.2110000e+00,AFP,,,
5,1164109,1,622.408000,8.547390000e-03,162256,9.840370000e-03,12.0100,1.8430000e+00,UNK,,,
6,757450,1,8.884920,1.186150000e-06,134452,1.014910000e-04,2.0780,2.3950000e-02,PC,,,
7,892667,1,2.262110,2.726600000e-05,132171,6.531110000e-03,7.5090,5.1980000e+00,NTP,,,
8,892772,1,5.092600,3.144550000e-05,133451,4.821040000e-03,3.3990,2.4260000e-01,AFP,,,
9,1026032,1,8.460440,3.822250000e-07,133774,3.816630000e-05,4.8040,2.0100000e-03,UNK,,,
10,1026032,2,4.230220,7.327150000e-07,133998,1.392290000e-04,4.6060,6.9320000e-03,UNK,,,
11,1026133,2,2.691910,2.128260000e-05,132267,4.653150000e-03,5.5300,1.3040000e+00,UNK,,,
12,1026133,1,1.346290,2.253040000e-05,132842,1.183560000e-02,1.6260,2.7120000e-01,UNK,,,
13,1028018,1,0.614378,9.733760000e-06,131652,1.010360000e-03,1.4480,2.5100000e-01,UNK,,,
14,1026957,1,21.761300,1.002540000e-05,144779,3.854900000e-04,1.2770,3.7370000e-02,AFP,,,
15,1160891,1,0.940463,2.619800000e-05,132400,5.988500000e-03,3.3540,2.6610000e+00,AFP,,,
16,1160891,2,0.940463,8.053180000e-06,131660,3.442450000e-02,3.3320,7.3100000e-01,AFP,,,
17,1160891,3,0.940520,7.876050000e-06,132025,1.624900000e-03,3.1880,1.7450000e+00,AFP,,,
18,1162150,2,0.778568,9.102830000e-06,131662,2.048750000e-03,1.3990,8.4430000e-01,AFP,,,
19,1162150,1,0.778574,7.102600000e-06,131980,1.479950000e-03,1.3610,1.4720000e-01,AFP,,,
20,1161345,1,4.287580,1.116950000e-06,133434,1.523790000e-04,1.1130,4.0350000e-02,PC,,,
21,1162150,3,1.284530,2.585230000e-05,132236,1.070330000e-02,4.1750,2.6580000e+00,UNK,,,
22,1293031,1,1.078610,1.272980000e-05,132563,3.908900000e-03,3.4610,1.3630000e+00,UNK,,,
23,1162345,1,0.831777,1.136930000e-05,131698,2.556340000e-03,2.3490,1.7510000e+00,AFP,,,
24,1292087,1,0.547626,2.340840000e-05,131888,4.088430000e-03,1.4080,5.4330000e-01,NTP,,,
25,1573174,2,0.748347,7.786200000e-06,131886,2.490030000e-03,2.8970,4.1720000e+00,AFP,,,
26,1574792,1,1.391750,1.488460000e-05,131572,4.111450000e-03,3.3300,6.2770000e-01,NTP,,,
27,1575690,1,1.126200,1.569320000e-07,132441,3.290970000e-05,1.6320,1.2180000e-02,AFP,,,
28,1575873,1,0.629008,7.191270000e-06,131551,1.210070000e-03,1.4210,4.8000000e-01,AFP,,,
